gene,score,p_val
AKT1,2.8785670971063144,0.0008332638946754438
AXL,0.9758279640940527,0.3953003916340305
BGN,1.1020049539216157,0.26206149487542707
BIRC3,0.6549485631585024,0.8590950754103824
BIRC5,2.3243585346027307,0.007082743104741272
BMP2,1.5095324520427778,0.06491125739521707
BMP4,1.0686495810568597,0.4216315307057745
CALD1,2.329607628171891,0.007416048662611449
CAPG,2.3123460369675732,0.010582451462378135
CCNA2,1.6876023992209204,0.05357886842763103
CCND1,2.2394941636275014,0.008665944504624615
CD36,1.3262767315440902,0.15423714690442464
CDK1,1.5995020535704694,0.06857761853178902
CDKN1A,1.4454008576913404,0.10657445212898925
CDKN1B,3.0177091407601555,0.000666611115740355
COL1A1,3.267574498783076,0.004666277810182484
COL5A2,5.741683929857868,0.0003333055578701775
COL9A3,4.036571620001526,8.332638946754438e-05
CTNNB1,2.1226102020623068,0.013498875093742188
DCN,1.4316299431310826,0.10165819515040413
DKK3,0.8502516036593838,0.5575368719273394
EGFR,1.6139986018865096,0.07224397966836096
ERBB3,3.3248209007701823,0.0005832847262728105
ESPN,3.0777448991754226,0.0018331805682859762
FGF1,0.8357502542379442,0.5966169485876177
FGFR1,1.4628991842693746,0.11149070910757437
FN1,2.8790199408357484,0.001583201399883343
FOS,1.4666936661663073,0.10482459795017082
FOSB,2.4918323444378006,0.017665194567119406
FOSL1,1.3115388553723548,0.17423548037663528
FOSL2,2.498536898395415,0.005582868094325473
FOXF2,1.5467836840299996,0.08215982001499875
GPX8,1.4233348801095467,0.12648945921173235
GTSE1,2.415360976753744,0.00666611115740355
HIF1A,3.0511171024371535,0.0005832847262728105
HK2,2.3202170263778714,0.007416048662611449
IFIT2,1.1288031818292297,0.20406632780601616
IRX3,1.329702720329106,0.16381968169319222
ITGA3,1.0691543452878058,0.3308890925756187
ITGA5,1.6634417185173893,0.061994833763853015
ITGA6,2.328445535561461,0.006749437546871094
ITGA8,0.8249385989369284,0.7131905674527123
ITGAV,3.0336190097631426,0.000666611115740355
JUN,2.2658965536681026,0.02116490292475627
KIT,1.1370999539781577,0.25489542538121823
KLF4,1.495836204277108,0.10324139655028748
L1CAM,3.339691762272847,0.0004999583368052662
LMOD1,1.3379189155620919,0.16915257061911507
LOXL2,2.8614533334035674,0.003583034747104408
MAPK14,2.2387261453619156,0.008415965336221982
MEF2C,1.192907228372459,0.24106324472960586
MERTK,1.3126346421614756,0.17798516790267477
MET,2.018545487709175,0.018831764019665027
MITF,2.553569689163049,0.003583034747104408
MKI67,2.1141462841107344,0.014998750104157986
MLANA,2.9762529986643287,0.000666611115740355
MMP1,4.530933820026652,0.008832597283559703
MMP11,1.361885159886947,0.15432047329389217
MYBL2,2.3836353416840503,0.004499625031247396
MYC,2.112978774415481,0.014332138988417632
MYLK,1.7096124520936802,0.049079243396383636
MYOCD,0.7667805482884485,0.7134405466211149
NANOG,1.3361812904651589,0.12198983418048497
NCAM1,2.97204415382508,0.0009165902841429881
NFATC2,1.692338560007126,0.05241229897508541
NFE2L2,2.1387648983091174,0.012748937588534289
NGFR,1.0578120068150072,0.2558120156653612
NOTCH3,1.4209805117352283,0.09324222981418215
NOTCH4,0.7476051131712969,0.7387717690192483
NRG1,1.1616100605569861,0.3091409049245896
NT5E,1.9883264127521458,0.026831097408549286
OASL,1.1981106493641602,0.16198650112490626
PDGFA,1.5897431046091992,0.07591034080493292
PDGFC,1.1494392306318542,0.2679776685276227
PDGFRB,0.963266698236871,0.43463044746271146
PKDCC,0.7524268289949403,0.7206066161153237
PRKCA,1.2001807442172623,0.23789684192983918
PRRX1,1.907577630231593,0.02916423631364053
RGS2,2.500810226143173,0.006499458378468461
RIGI,0.7176129092891714,0.7863511374052162
ROR1,1.1611083899545631,0.2623948004332972
ROR2,1.1393350516866338,0.23873010582451462
RUNX2,1.7930194865966376,0.04007999333388884
SCG2,2.94154911532111,0.0030830764102991416
SERPINE1,1.6330747403258514,0.06057828514290476
SERPINF1,0.8509394027552576,0.5677026914423798
SFRP1,1.3666522632834397,0.1318223481376552
SFRP4,1.2566704533965871,0.19198400133322224
SLC7A8,1.656162369545691,0.06274477126906092
SLIT2,0.8888424500716458,0.5448712607282726
SMAD3,1.1893521288140083,0.23723023081409883
SNAI1,1.7313985038051727,0.048829264227981
SNAI2,3.4067026314324713,0.0018331805682859762
SOX10,2.854382312836497,0.0007499375052078994
SOX2,0.9519588325447986,0.46096158653445546
SOX9,0.8334065449650497,0.631864011332389
SPARC,2.7122729221911954,0.002749770852428964
TAFAZZIN,1.4108230851291876,0.13148904257978503
TAGLN,0.8231126109082127,0.6330305807849346
TDO2,1.1875002899322087,0.24397966836096993
TFAP2A,2.9474569592303665,0.0004166319473377219
TGFB1,2.304627677647802,0.005999500041663195
TGFB1I1,1.9947105826098057,0.019915007082743106
TGFBR2,1.388808325651641,0.13773852178985085
TOP2A,1.3070543085583255,0.16681943171402383
TRPM1,2.434800835794266,0.00724939588367636
TYR,3.265650990632303,0.0003333055578701775
VCAM1,1.0217200886819318,0.3530539121739855
VEGFA,3.8076922466816883,0.0002499791684026331
VEGFC,0.9477661778930665,0.44496291975668695
WNT5A,1.3237738316143333,0.16873593867177736
YAP1,2.6519573857236662,0.0014998750104157988
ZEB1,1.521312485894927,0.09424214648779268
ZEB2,1.8112580068184312,0.04157986834430464
