object_id,bc_cluster,bc_cluster_bc_names,called_barcodes,bc_016,bc_040,bc_052,bc_092,bc_093,cluster_bc_count,nonzero_cluster_bc_count
31412,132.0,bc_040-bc_092,"['bc_004', 'bc_031', 'bc_040', 'bc_041', 'bc_052', 'bc_087', 'bc_092', 'bc_093']",1.0,30.0,6.0,19.0,6.0,62.0,5
31468,541.0,bc_006-bc_009-bc_092-bc_093,"['bc_006', 'bc_009', 'bc_040', 'bc_052', 'bc_092']",1.0,4.0,5.0,5.0,1.0,16.0,5
31469,132.0,bc_040-bc_092,"['bc_031', 'bc_040', 'bc_052', 'bc_066', 'bc_092']",0.0,15.0,7.0,10.0,0.0,32.0,3
31476,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",8.0,25.0,20.0,8.0,27.0,88.0,5
31515,1220.0,bc_006-bc_040-bc_052-bc_093,"['bc_006', 'bc_010', 'bc_040', 'bc_052', 'bc_093']",0.0,7.0,5.0,1.0,11.0,24.0,4
31517,1689.0,bc_006-bc_010-bc_024-bc_040-bc_052-bc_066-bc_093,"['bc_006', 'bc_010', 'bc_024', 'bc_040', 'bc_052', 'bc_066']",0.0,7.0,5.0,1.0,0.0,13.0,3
31595,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_040', 'bc_052', 'bc_092', 'bc_093']",2.0,23.0,9.0,23.0,17.0,74.0,5
31632,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",1.0,3.0,16.0,11.0,14.0,45.0,5
31648,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_024', 'bc_052', 'bc_092', 'bc_093']",0.0,1.0,5.0,4.0,6.0,16.0,4
31665,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",11.0,39.0,33.0,42.0,60.0,185.0,5
31715,194.0,bc_040-bc_052-bc_093,"['bc_009', 'bc_016', 'bc_040']",3.0,5.0,2.0,1.0,0.0,11.0,4
31749,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",5.0,23.0,26.0,6.0,22.0,82.0,5
31794,41.0,bc_040-bc_048-bc_060-bc_093,"['bc_001', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_093']",0.0,7.0,7.0,2.0,4.0,20.0,4
31809,601.0,bc_009-bc_040,"['bc_009', 'bc_024', 'bc_040', 'bc_092', 'bc_093']",1.0,20.0,1.0,8.0,5.0,35.0,5
31816,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_024', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",0.0,8.0,8.0,17.0,13.0,46.0,4
31820,1642.0,bc_009-bc_040-bc_052-bc_092,"['bc_009', 'bc_040', 'bc_048', 'bc_052', 'bc_092']",1.0,5.0,6.0,3.0,0.0,15.0,4
31857,1379.0,bc_009-bc_024-bc_040-bc_052-bc_093,"['bc_009', 'bc_016', 'bc_024', 'bc_040', 'bc_052', 'bc_093']",7.0,11.0,20.0,0.0,21.0,59.0,4
31874,347.0,bc_007-bc_024-bc_060-bc_077-bc_092,"['bc_007', 'bc_024', 'bc_060', 'bc_077', 'bc_092', 'bc_093']",0.0,2.0,1.0,22.0,5.0,30.0,4
31884,648.0,bc_009,"['bc_009', 'bc_052', 'bc_092']",2.0,1.0,5.0,3.0,1.0,12.0,5
31919,355.0,bc_040-bc_048-bc_052-bc_060-bc_092-bc_093,"['bc_022', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092', 'bc_093']",0.0,6.0,3.0,5.0,9.0,23.0,4
31959,612.0,bc_024-bc_040-bc_092,"['bc_024', 'bc_040']",0.0,9.0,1.0,2.0,0.0,12.0,3
31964,360.0,bc_024,"['bc_024', 'bc_040', 'bc_092', 'bc_093']",1.0,11.0,2.0,6.0,10.0,30.0,5
32117,681.0,bc_010-bc_024-bc_066,"['bc_006', 'bc_009', 'bc_010', 'bc_024', 'bc_040', 'bc_048', 'bc_066', 'bc_092', 'bc_093']",0.0,4.0,1.0,3.0,3.0,11.0,4
32133,601.0,bc_009-bc_040,"['bc_009', 'bc_040', 'bc_048', 'bc_052', 'bc_060']",1.0,13.0,5.0,1.0,2.0,22.0,5
32168,648.0,bc_009,"['bc_009', 'bc_016', 'bc_040', 'bc_092', 'bc_093']",5.0,8.0,0.0,3.0,6.0,22.0,4
32180,194.0,bc_040-bc_052-bc_093,"['bc_024', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",0.0,19.0,7.0,5.0,5.0,36.0,4
32202,648.0,bc_009,"['bc_009', 'bc_040', 'bc_052', 'bc_092']",1.0,6.0,4.0,5.0,2.0,18.0,5
32209,1642.0,bc_009-bc_040-bc_052-bc_092,"['bc_009', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",0.0,5.0,12.0,6.0,5.0,28.0,4
32251,261.0,bc_009-bc_024-bc_092,"['bc_009', 'bc_024', 'bc_040', 'bc_092']",0.0,4.0,1.0,9.0,0.0,14.0,3
32287,324.0,bc_048-bc_060,"['bc_001', 'bc_024', 'bc_048', 'bc_052', 'bc_060', 'bc_087', 'bc_093']",0.0,2.0,7.0,0.0,3.0,12.0,3
32289,2642.0,bc_024-bc_040-bc_052-bc_092-bc_093,"['bc_024', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",1.0,8.0,4.0,5.0,11.0,29.0,5
32299,132.0,bc_040-bc_092,"['bc_024', 'bc_031', 'bc_040', 'bc_048', 'bc_092', 'bc_093']",1.0,30.0,2.0,20.0,4.0,57.0,5
32300,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",3.0,28.0,14.0,19.0,12.0,76.0,5
32303,132.0,bc_040-bc_092,"['bc_040', 'bc_052', 'bc_092']",0.0,11.0,4.0,12.0,0.0,27.0,3
32333,324.0,bc_048-bc_060,"['bc_009', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092']",1.0,4.0,8.0,4.0,2.0,19.0,5
32342,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_016', 'bc_040', 'bc_048', 'bc_092', 'bc_093']",4.0,14.0,0.0,12.0,12.0,42.0,4
32368,324.0,bc_048-bc_060,"['bc_040', 'bc_048', 'bc_060', 'bc_092']",2.0,4.0,2.0,12.0,0.0,20.0,4
32399,132.0,bc_040-bc_092,"['bc_040', 'bc_092']",1.0,4.0,0.0,7.0,1.0,13.0,4
32413,2642.0,bc_024-bc_040-bc_052-bc_092-bc_093,"['bc_024', 'bc_040', 'bc_052', 'bc_093']",0.0,5.0,4.0,0.0,4.0,13.0,3
32439,2642.0,bc_024-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_024', 'bc_040', 'bc_052', 'bc_093']",6.0,11.0,14.0,2.0,11.0,44.0,5
32452,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_006', 'bc_016', 'bc_040', 'bc_092', 'bc_093']",3.0,6.0,2.0,13.0,8.0,32.0,5
32493,194.0,bc_040-bc_052-bc_093,"['bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",6.0,23.0,8.0,9.0,4.0,50.0,5
32523,648.0,bc_009,"['bc_009', 'bc_040', 'bc_092', 'bc_093']",0.0,6.0,1.0,3.0,4.0,14.0,4
32534,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_040', 'bc_052', 'bc_060', 'bc_092', 'bc_093']",2.0,11.0,4.0,6.0,4.0,27.0,5
32536,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_006', 'bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",3.0,24.0,22.0,23.0,26.0,98.0,5
32570,676.0,bc_016-bc_040-bc_041-bc_076-bc_092,"['bc_004', 'bc_016', 'bc_040', 'bc_041', 'bc_092']",6.0,12.0,0.0,9.0,1.0,28.0,4
32578,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_048', 'bc_052', 'bc_092', 'bc_093']",8.0,31.0,35.0,29.0,29.0,132.0,5
32623,1499.0,bc_024-bc_040-bc_048-bc_092,"['bc_024', 'bc_040', 'bc_048', 'bc_092']",0.0,4.0,0.0,7.0,1.0,12.0,3
32645,125.0,bc_016-bc_040-bc_052,"['bc_016', 'bc_024', 'bc_040', 'bc_052', 'bc_060', 'bc_066']",4.0,7.0,11.0,0.0,0.0,22.0,3
32682,324.0,bc_048-bc_060,"['bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092']",0.0,5.0,3.0,5.0,0.0,13.0,3
32688,315.0,bc_024-bc_040-bc_092,"['bc_004', 'bc_024', 'bc_040', 'bc_092']",0.0,8.0,1.0,10.0,0.0,19.0,3
32712,304.0,bc_024-bc_039-bc_040-bc_052-bc_093,"['bc_016', 'bc_039', 'bc_040', 'bc_052', 'bc_093']",4.0,5.0,7.0,0.0,6.0,22.0,4
32760,612.0,bc_024-bc_040-bc_092,"['bc_024', 'bc_040', 'bc_048', 'bc_060', 'bc_067', 'bc_092']",0.0,8.0,2.0,6.0,0.0,16.0,3
32762,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_024', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092', 'bc_093']",4.0,24.0,26.0,3.0,21.0,78.0,5
32794,41.0,bc_040-bc_048-bc_060-bc_093,"['bc_009', 'bc_010', 'bc_016', 'bc_040', 'bc_041', 'bc_048', 'bc_060', 'bc_077', 'bc_093']",3.0,5.0,2.0,1.0,5.0,16.0,5
32803,2714.0,bc_004-bc_040-bc_087-bc_092,"['bc_004', 'bc_040', 'bc_087', 'bc_092', 'bc_093']",0.0,12.0,0.0,12.0,3.0,27.0,3
32806,194.0,bc_040-bc_052-bc_093,"['bc_016', 'bc_040', 'bc_052']",4.0,14.0,10.0,0.0,1.0,29.0,4
32840,132.0,bc_040-bc_092,"['bc_016', 'bc_024', 'bc_040', 'bc_092']",5.0,13.0,1.0,13.0,2.0,34.0,5
32846,132.0,bc_040-bc_092,"['bc_016', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092']",9.0,34.0,4.0,27.0,1.0,75.0,5
32852,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_052', 'bc_093']",4.0,12.0,13.0,0.0,10.0,39.0,4
32853,315.0,bc_024-bc_040-bc_092,"['bc_024', 'bc_040', 'bc_092']",0.0,14.0,0.0,7.0,1.0,22.0,3
32864,2848.0,bc_004-bc_024-bc_040-bc_041-bc_052-bc_093,"['bc_004', 'bc_024', 'bc_040', 'bc_041', 'bc_052', 'bc_093']",1.0,6.0,11.0,0.0,9.0,27.0,4
32873,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_040', 'bc_092', 'bc_093']",0.0,3.0,2.0,3.0,3.0,11.0,4
32881,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_040', 'bc_052', 'bc_093']",2.0,19.0,9.0,0.0,18.0,48.0,4
32960,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",0.0,6.0,5.0,5.0,9.0,25.0,4
32989,648.0,bc_009,"['bc_009', 'bc_052', 'bc_092', 'bc_093']",2.0,1.0,5.0,4.0,4.0,16.0,5
33019,1402.0,bc_010-bc_066,"['bc_010', 'bc_066', 'bc_092']",2.0,2.0,2.0,4.0,1.0,11.0,5
33053,41.0,bc_040-bc_048-bc_060-bc_093,"['bc_040', 'bc_048', 'bc_060', 'bc_093']",2.0,8.0,0.0,2.0,9.0,21.0,4
33059,1379.0,bc_009-bc_024-bc_040-bc_052-bc_093,"['bc_009', 'bc_024', 'bc_040', 'bc_048', 'bc_052', 'bc_092', 'bc_093']",1.0,8.0,12.0,5.0,11.0,37.0,5
33072,1499.0,bc_024-bc_040-bc_048-bc_092,"['bc_010', 'bc_024', 'bc_040', 'bc_048', 'bc_060', 'bc_092']",0.0,13.0,0.0,15.0,1.0,29.0,3
33081,2494.0,bc_004-bc_041-bc_048-bc_082-bc_092,"['bc_004', 'bc_040', 'bc_041', 'bc_048', 'bc_082', 'bc_092']",1.0,3.0,2.0,4.0,2.0,12.0,5
33093,132.0,bc_040-bc_092,"['bc_040', 'bc_048', 'bc_092']",0.0,9.0,0.0,10.0,1.0,20.0,3
33102,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",3.0,18.0,16.0,15.0,16.0,68.0,5
33134,1379.0,bc_009-bc_024-bc_040-bc_052-bc_093,"['bc_009', 'bc_052', 'bc_093']",0.0,1.0,6.0,1.0,4.0,12.0,4
33160,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_040', 'bc_092', 'bc_093']",2.0,4.0,0.0,4.0,9.0,19.0,4
33191,476.0,bc_024-bc_031-bc_040-bc_052-bc_087-bc_092,"['bc_016', 'bc_024', 'bc_031', 'bc_040', 'bc_052', 'bc_087', 'bc_092', 'bc_093']",3.0,9.0,8.0,6.0,3.0,29.0,5
33204,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_040', 'bc_048', 'bc_052', 'bc_092', 'bc_093']",2.0,19.0,18.0,16.0,28.0,83.0,5
33206,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_040', 'bc_052', 'bc_092', 'bc_093']",2.0,8.0,10.0,10.0,10.0,40.0,5
33239,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_016', 'bc_040', 'bc_041', 'bc_052', 'bc_093']",4.0,32.0,42.0,1.0,34.0,113.0,5
33256,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",6.0,19.0,17.0,16.0,28.0,86.0,5
33303,41.0,bc_040-bc_048-bc_060-bc_093,"['bc_040', 'bc_048', 'bc_052', 'bc_060']",1.0,6.0,4.0,0.0,1.0,12.0,4
33345,919.0,bc_004-bc_041-bc_048-bc_060,"['bc_004', 'bc_041', 'bc_048', 'bc_052', 'bc_060', 'bc_077', 'bc_093']",2.0,1.0,5.0,0.0,4.0,12.0,4
