object_id,FIRST_PASS_CONTAINS_BARCODES,First pass notes,SECOND_PASS_CONTAINS_NO_EXTRA_BARCODES,second pass notes,bc_cluster,bc_cluster_bc_names,called_barcodes,bc_016,bc_040,bc_052,bc_092,bc_093,cluster_bc_count,nonzero_cluster_bc_count
33629,POSSIBLE,LOW 92,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_024', 'bc_040', 'bc_052', 'bc_093']",6,23,29,0,38,96,4
33673,POSSIBLE,LOW 92,FALSE,,1220,bc_006-bc_040-bc_052-bc_093,"['bc_006', 'bc_040', 'bc_052', 'bc_093']",0,10,6,0,3,19,3
33689,FALSE,"SEEMS LIKE 40, 92",TRUE,,132,bc_040-bc_092,"['bc_016', 'bc_040', 'bc_048', 'bc_092']",5,29,1,24,2,61,5
33703,FALSE,NEIGHBOR,FALSE,,165,bc_024-bc_048-bc_060,"['bc_024', 'bc_040', 'bc_048', 'bc_060', 'bc_093']",0,4,2,1,5,12,4
33707,FALSE,,FALSE,,825,bc_024-bc_040-bc_048-bc_060,"['bc_024', 'bc_040', 'bc_048', 'bc_060']",2,16,2,2,1,23,5
33726,FALSE,,TRUE,,194,bc_040-bc_052-bc_093,"['bc_016', 'bc_040', 'bc_052']",3,16,15,0,2,36,4
33780,TRUE,LOW 16,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_040', 'bc_052', 'bc_092', 'bc_093']",1,22,13,17,18,71,5
33820,FALSE,"SEEMS LIKE 40, 92",TRUE,,132,bc_040-bc_092,"['bc_040', 'bc_048', 'bc_092', 'bc_093']",0,18,1,9,3,31,4
33840,TRUE,,TRUE,MAY BE NO SPOTS?,41,bc_040-bc_048-bc_060-bc_093,"['bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092', 'bc_093']",0,7,4,9,13,33,4
33853,FALSE,"SEEMS LIKE 40, 92",TRUE,,1096,bc_004-bc_040-bc_041-bc_048-bc_052-bc_092-bc_093,"['bc_040', 'bc_052']",0,5,8,1,1,15,4
33871,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092', 'bc_093']",5,24,26,27,38,120,5
33889,FALSE,"SEEMS LIKE 40, 92",FALSE,,825,bc_024-bc_040-bc_048-bc_060,"['bc_016', 'bc_040', 'bc_048', 'bc_060', 'bc_092', 'bc_093']",5,27,0,5,4,41,4
33902,FALSE,NEIGHBOR,FALSE,,125,bc_016-bc_040-bc_052,"['bc_016', 'bc_040', 'bc_052']",3,9,5,0,0,17,3
33911,TRUE,LOW 16,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_040', 'bc_052', 'bc_093']",0,5,4,0,4,13,3
33944,FALSE,,FALSE,,3134,bc_027-bc_040-bc_052-bc_087,"['bc_027', 'bc_040', 'bc_052', 'bc_087']",1,6,6,0,0,13,3
33958,TRUE,,TRUE,,355,bc_040-bc_048-bc_052-bc_060-bc_092-bc_093,"['bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092', 'bc_093']",2,12,6,3,23,46,5
33966,POSSIBLE,LOW 93,TRUE,,194,bc_040-bc_052-bc_093,"['bc_016', 'bc_024', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",3,29,23,7,6,68,5
33970,POSSIBLE ,LOW 16,TRUE,POSSIBLE EXTRA,1594,bc_004-bc_040-bc_041-bc_048-bc_093,"['bc_004', 'bc_040', 'bc_041', 'bc_048', 'bc_052', 'bc_093']",0,22,3,2,16,43,4
